"Good_Rating","Checking Account Status","Duration","Credit History","Purpose","Amount","Savings Account/Bonds","Present Employment since","Installment rate in % of disposable income","Personal Status","Other debtors","Present residence since","Property","Age","Other installment plans","Housing","Number of existing credits","Job type","Number of dependents","Telephone","Foreign worker"
"true","Less than 0 DM ",6,"critical account other credits existing (not at this bank) ","radio television ",1169,"unknown no savings account ","Greater than 7 years ",4,"male single ","none ",4,"0 to 200 DM 1",67,"no checking account 3","own ",2,"skilled employee official ",1,"yes registered under the customers name ","yes "
"false","0 to 200 DM ",48,"existing credits paid back duly till now ","radio television ",5951,"Less than 100 DM","1 to 4 years ",2,"female divorced separated married ","none ",2,"0 to 200 DM 1",22,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","no checking account ",12,"critical account other credits existing (not at this bank) ","education ",2096,"Less than 100 DM","4 to 7 years ",2,"male single ","none ",3,"0 to 200 DM 1",49,"no checking account 3","own ",1,"unskilled - resident ",2,"none ","yes "
"true","Less than 0 DM ",42,"existing credits paid back duly till now ","furniture equipment ",7882,"Less than 100 DM","4 to 7 years ",2,"male single ","guarantor ",4,"0 to 200 DM 2",45,"no checking account 3","for free ",1,"skilled employee official ",2,"none ","yes "
"false","Less than 0 DM ",24,"delay in paying off in the past ","new car  ",4870,"Less than 100 DM","1 to 4 years ",3,"male single ","none ",4,"0 to 200 DM 4",53,"no checking account 3","for free ",2,"skilled employee official ",2,"none ","yes "
"true","no checking account ",36,"existing credits paid back duly till now ","education ",9055,"unknown no savings account ","1 to 4 years ",2,"male single ","none ",4,"0 to 200 DM 4",35,"no checking account 3","for free ",1,"unskilled - resident ",2,"yes registered under the customers name ","yes "
"true","no checking account ",24,"existing credits paid back duly till now ","furniture equipment ",2835,"500 to 1000 DM ","Greater than 7 years ",3,"male single ","none ",4,"0 to 200 DM 2",53,"no checking account 3","own ",1,"skilled employee official ",1,"none ","yes "
"true","0 to 200 DM ",36,"existing credits paid back duly till now ","used car  ",6948,"Less than 100 DM","1 to 4 years ",2,"male single ","none ",2,"0 to 200 DM 3",35,"no checking account 3","rent ",1,"management self-employed highly qualified employee officer ",1,"yes registered under the customers name ","yes "
"true","no checking account ",12,"existing credits paid back duly till now ","radio television ",3059,"Greater than 1000 DM ","4 to 7 years ",2,"male divorced separated ","none ",4,"0 to 200 DM 1",61,"no checking account 3","own ",1,"unskilled - resident ",1,"none ","yes "
"false","0 to 200 DM ",30,"critical account other credits existing (not at this bank) ","new car  ",5234,"Less than 100 DM","unemployed ",4,"male married widowed ","none ",2,"0 to 200 DM 3",28,"no checking account 3","own ",2,"management self-employed highly qualified employee officer ",1,"none ","yes "
"false","0 to 200 DM ",12,"existing credits paid back duly till now ","new car  ",1295,"Less than 100 DM","Less than 1 year ",3,"female divorced separated married ","none ",1,"0 to 200 DM 3",25,"no checking account 3","rent ",1,"skilled employee official ",1,"none ","yes "
"false","Less than 0 DM ",48,"existing credits paid back duly till now ","business ",4308,"Less than 100 DM","Less than 1 year ",3,"female divorced separated married ","none ",4,"0 to 200 DM 2",24,"no checking account 3","rent ",1,"skilled employee official ",1,"none ","yes "
"true","0 to 200 DM ",12,"existing credits paid back duly till now ","radio television ",1567,"Less than 100 DM","1 to 4 years ",1,"female divorced separated married ","none ",1,"0 to 200 DM 3",22,"no checking account 3","own ",1,"skilled employee official ",1,"yes registered under the customers name ","yes "
"false","Less than 0 DM ",24,"critical account other credits existing (not at this bank) ","new car  ",1199,"Less than 100 DM","Greater than 7 years ",4,"male single ","none ",4,"0 to 200 DM 3",60,"no checking account 3","own ",2,"unskilled - resident ",1,"none ","yes "
"true","Less than 0 DM ",15,"existing credits paid back duly till now ","new car  ",1403,"Less than 100 DM","1 to 4 years ",2,"female divorced separated married ","none ",4,"0 to 200 DM 3",28,"no checking account 3","rent ",1,"skilled employee official ",1,"none ","yes "
"false","Less than 0 DM ",24,"existing credits paid back duly till now ","radio television ",1282,"100 to 500 DM ","1 to 4 years ",4,"female divorced separated married ","none ",2,"0 to 200 DM 3",32,"no checking account 3","own ",1,"unskilled - resident ",1,"none ","yes "
"true","no checking account ",24,"critical account other credits existing (not at this bank) ","radio television ",2424,"unknown no savings account ","Greater than 7 years ",4,"male single ","none ",4,"0 to 200 DM 2",53,"no checking account 3","own ",2,"skilled employee official ",1,"none ","yes "
"true","Less than 0 DM ",30,"no credits taken all credits paid back duly ","business ",8072,"unknown no savings account ","Less than 1 year ",2,"male single ","none ",3,"0 to 200 DM 3",25,"no checking account 1","own ",3,"skilled employee official ",1,"none ","yes "
"false","0 to 200 DM ",24,"existing credits paid back duly till now ","used car  ",12579,"Less than 100 DM","Greater than 7 years ",4,"female divorced separated married ","none ",2,"0 to 200 DM 4",44,"no checking account 3","for free ",1,"management self-employed highly qualified employee officer ",1,"yes registered under the customers name ","yes "
